employee_id,date_entry,first_country,2nd_country,thrd_count
6755,2020-04-07 00:58:52,"Saint Helena, Ascension and Tristan da Cunha",Palau,Gibraltar
6885,2019-06-02 17:56:06,Georgia,Mongolia,Croatia
8471,2020-05-20 03:33:18,San Marino,Georgia,South Africa
7209,2019-07-31 01:42:43,Denmark,Iceland,Tonga
5644,2018-11-09 13:59:35,Bolivia,"Virgin Islands, United States",Greece
7405,2019-07-07 19:19:28,Honduras,Uruguay,Mayotte
5692,2019-01-11 18:37:06,Saint Kitts and Nevis,Mayotte,Kyrgyzstan
7948,2020-02-12 12:52:04,French Guiana,Iran,Brazil
7777,2019-09-24 13:12:36,Fiji,Bermuda,Lesotho
6446,2019-06-01 10:01:52,Chile,Christmas Island,Somalia
5983,2019-12-08 16:27:43,France,American Samoa,Oman
8516,2020-12-26 18:21:09,Marshall Islands,Gabon,"Saint Helena, Ascension and Tristan da Cunha"
7630,2018-10-17 23:01:30,Faroe Islands,Senegal,Denmark
7410,2020-01-24 03:51:05,Equatorial Guinea,Ecuador,Mexico
8962,2020-03-05 22:07:38,Macao,Nicaragua,Germany
6550,2018-12-22 09:18:59,Sweden,Mauritius,Christmas Island
6914,2019-05-14 12:22:31,Norway,Rwanda,Iraq
6227,2018-10-29 11:12:54,Jamaica,Sudan,Eritrea
5572,2019-01-21 18:42:19,Honduras,Gibraltar,Kenya
7264,2019-04-22 06:51:06,Australia,Yemen,Vanuatu
7548,2020-02-23 21:46:49,Italy,South Sudan,Barbados
5556,2019-10-25 07:18:55,Oman,Guyana,Cyprus
8029,2019-05-20 22:20:34,Finland,Timor-Leste,French Guiana
8549,2018-10-20 23:35:30,Spain,Tunisia,Hong Kong
